customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
ID-00044,Female,0,Yes,Yes,26,Yes,No,DSL,No,No internet service,No,No,No,No internet service,One year,Yes,Electronic check,32.09,2977.3,No
ID-00045,Female,0,No,Yes,70,No,Yes,No,No,No,No,No internet service,No internet service,No,One year,No,Electronic check,89.98,3934.14,Yes
ID-00046,Female,1,Yes,No,17,Yes,Yes,No,Yes,Yes,No internet service,No internet service,Yes,No internet service,One year,No,Bank transfer,47.62,6900.12,No
ID-00047,Male,0,No,Yes,32,Yes,No,Fiber optic,No internet service,No internet service,No internet service,Yes,No,No internet service,One year,No,Electronic check,65.2,3001.43,Yes
ID-00048,Female,0,Yes,No,32,Yes,Yes,Fiber optic,No internet service,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,61.48,4120.73,No
ID-00049,Female,0,Yes,Yes,24,No,Yes,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,Yes,Two year,Yes,Bank transfer,78.57,189.73,No
ID-00050,Male,0,No,No,13,Yes,No phone service,No,Yes,Yes,No,No internet service,Yes,Yes,Month-to-month,No,Credit card,53.14,7976.89,No
ID-00051,Female,0,No,Yes,37,Yes,Yes,DSL,No internet service,No internet service,No internet service,No,No internet service,No internet service,One year,No,Bank transfer,25.61,3235.63,No
ID-00052,Male,0,No,No,37,No,No phone service,Fiber optic,Yes,No,No internet service,No internet service,No,Yes,Two year,No,Electronic check,85.85,2587.31,Yes
ID-00053,Female,1,Yes,No,3,No,No,DSL,Yes,Yes,No,No,No,No internet service,Month-to-month,Yes,Electronic check,114.79,5297.2,No
ID-00054,Male,0,Yes,No,61,No,No,No,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed check,85.37,4582.9,Yes
ID-00055,Female,0,Yes,No,9,Yes,No,Fiber optic,No,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,72.48,3492.88,No
ID-00056,Female,0,No,Yes,34,No,No,No,Yes,No,No internet service,No internet service,No,No,Two year,No,Credit card,34.69,8011.86,No
ID-00057,Male,0,Yes,No,22,No,Yes,DSL,No internet service,No,No,Yes,Yes,No internet service,One year,Yes,Electronic check,81.08,3164.05,No
ID-00058,Male,0,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer,79.66,8670.71,No
ID-00059,Male,0,No,Yes,24,Yes,No phone service,DSL,Yes,No,Yes,No internet service,No,Yes,One year,No,Electronic check,80.43,6857.26,No
ID-00060,Male,0,Yes,No,52,No,No phone service,DSL,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,107.93,7846.99,No
ID-00061,Male,0,Yes,No,16,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,Yes,No,Two year,Yes,Mailed check,90.24,2468.78,Yes
ID-00062,Male,0,No,Yes,56,Yes,Yes,Fiber optic,Yes,No,No internet service,No,Yes,No,One year,Yes,Electronic check,96.98,626.97,No
ID-00063,Male,0,No,Yes,19,No,No phone service,No,No,No,No,No internet service,No,Yes,One year,Yes,Electronic check,49.74,3651.24,Yes
ID-00064,Male,0,No,Yes,24,Yes,Yes,Fiber optic,No,No internet service,No,No,No internet service,No,Month-to-month,No,Bank transfer,45.42,2734.22,No
ID-00065,Female,0,No,No,41,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card,39.03,544.04,No
ID-00066,Female,0,No,No,44,No,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Mailed check,96.48,637.77,No
ID-00067,Male,1,No,Yes,30,No,No,Fiber optic,No internet service,No,No internet service,No internet service,Yes,No,Month-to-month,No,Credit card,88.46,1528.56,No
ID-00068,Female,1,No,Yes,64,Yes,No phone service,Fiber optic,No internet service,No,Yes,No,No internet service,No,Two year,Yes,Credit card,52.63,3292.43,No
ID-00069,Female,0,No,Yes,51,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,32.43,8123.57,No
ID-00070,Female,0,No,No,20,No,No phone service,DSL,No,Yes,No internet service,No internet service,No internet service,Yes,One year,No,Mailed check,103.34,5718.85,No
ID-00071,Female,0,Yes,Yes,29,Yes,No phone service,No,No internet service,Yes,Yes,No internet service,Yes,Yes,Two year,No,Electronic check,56.87,3471.11,No
ID-00072,Male,0,No,Yes,2,Yes,No,DSL,No,No internet service,Yes,No,Yes,No,Month-to-month,No,Electronic check,37.32,6946.28,Yes
ID-00073,Female,1,No,Yes,69,Yes,No phone service,Fiber optic,No internet service,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer,32.76,4945.12,Yes
ID-00074,Male,0,Yes,Yes,42,No,Yes,No,No internet service,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,110.68,3636.09,No
ID-00075,Female,1,No,No,28,No,No phone service,DSL,Yes,No,No,No,No internet service,No internet service,One year,Yes,Mailed check,31.33,1269.42,No
ID-00076,Female,1,Yes,Yes,2,Yes,No,DSL,No,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,54.4,8052.49,No
ID-00077,Female,0,Yes,No,57,Yes,No,Fiber optic,No,No,No internet service,Yes,No,Yes,Two year,No,Electronic check,81.79,5425.21,No
ID-00078,Male,0,No,No,32,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,No internet service,One year,No,Mailed check,59.26,3825.1,No
ID-00079,Female,0,Yes,Yes,44,Yes,No,DSL,No internet service,No internet service,No internet service,No,Yes,No internet service,One year,No,Credit card,66.23,3816.68,No
ID-00080,Male,1,No,No,68,No,No phone service,No,No,No,No internet service,No internet service,Yes,No,Two year,No,Credit card,98.91,6648.47,No
ID-00081,Female,0,No,Yes,31,No,No,DSL,Yes,No internet service,No internet service,Yes,No,No,Month-to-month,Yes,Credit card,118.67,1573.49,Yes
ID-00082,Male,1,Yes,Yes,51,No,No phone service,No,No internet service,No internet service,No,No,No internet service,No internet service,One year,Yes,Bank transfer,65.21,3636.9,Yes
ID-00083,Female,0,Yes,Yes,63,No,No phone service,No,Yes,Yes,Yes,Yes,No internet service,No,One year,No,Credit card,56.32,564.34,No
ID-00084,Male,0,Yes,Yes,39,No,Yes,DSL,Yes,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card,59.13,710.87,No
ID-00085,Male,1,No,Yes,12,No,Yes,No,Yes,No,No,No internet service,Yes,Yes,Two year,No,Mailed check,55.35,4579.42,No
ID-00086,Female,0,No,No,28,Yes,No phone service,DSL,Yes,No internet service,Yes,No,No,No,Two year,No,Mailed check,65.86,3318.51,Yes
ID-00087,Male,0,Yes,No,62,No,Yes,DSL,No internet service,Yes,No,Yes,No internet service,Yes,Two year,No,Credit card,51.73,6253.93,No
ID-00088,Female,0,No,Yes,25,No,Yes,Fiber optic,Yes,No internet service,No,Yes,No internet service,No,Two year,Yes,Electronic check,64.74,8569.8,No
ID-00089,Female,0,No,No,58,No,No,DSL,No internet service,No internet service,No,Yes,No,No internet service,One year,Yes,Mailed check,113.27,7466.5,No
ID-00090,Female,0,Yes,Yes,48,No,Yes,DSL,Yes,No,No internet service,No,No internet service,Yes,Two year,No,Bank transfer,47.01,3847.99,No
ID-00091,Female,0,Yes,No,52,Yes,No,Fiber optic,Yes,No internet service,Yes,No internet service,No,No internet service,One year,Yes,Mailed check,83.76,3292.97,Yes
ID-00092,Female,1,Yes,No,30,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No internet service,No internet service,Two year,No,Bank transfer,67.19,5088.77,No
ID-00093,Female,1,Yes,Yes,11,No,Yes,No,No,No,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Credit card,91.86,812.55,No
ID-00094,Female,0,Yes,No,57,Yes,No phone service,No,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card,65.72,8577.86,Yes
ID-00095,Female,0,Yes,No,35,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer,34.38,8520.07,Yes
ID-00096,Female,0,Yes,No,9,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer,105.93,8017.08,No
ID-00097,Female,0,Yes,Yes,5,Yes,No phone service,Fiber optic,Yes,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Bank transfer,86.16,5757.24,No
ID-00098,Female,1,Yes,No,6,No,No phone service,DSL,No internet service,No internet service,No,Yes,No,No,Month-to-month,No,Mailed check,71.1,4378.57,No
ID-00099,Male,0,Yes,No,30,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card,101.77,6142.81,Yes
ID-00100,Male,0,No,No,71,No,Yes,DSL,No internet service,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,116.36,2742.96,No
ID-00101,Female,0,No,No,2,No,No phone service,Fiber optic,Yes,Yes,No internet service,Yes,No internet service,No,One year,Yes,Electronic check,59.39,7404.14,No
ID-00102,Female,0,Yes,No,46,No,Yes,No,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer,53.73,1184.92,No
ID-00103,Female,0,No,No,0,Yes,Yes,No,No internet service,No internet service,No,No internet service,No,Yes,One year,No,Electronic check,93.99,6981.61,Yes
ID-00104,Female,0,No,No,44,No,No,DSL,No,Yes,No,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer,63.94,7536.31,Yes
ID-00105,Female,0,No,No,53,No,No,DSL,Yes,Yes,No internet service,No,No,No,One year,Yes,Bank transfer,26.87,1493.0,No
ID-00106,Female,0,No,No,49,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card,53.87,4165.81,Yes
ID-00107,Female,0,No,Yes,6,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,No,No,Month-to-month,No,Bank transfer,99.52,7745.8,No
ID-00108,Female,0,No,No,62,No,Yes,No,Yes,Yes,Yes,Yes,No,No internet service,Month-to-month,No,Mailed check,89.27,8332.0,No
ID-00109,Male,0,Yes,No,14,Yes,Yes,No,No internet service,Yes,Yes,No internet service,Yes,Yes,Two year,No,Bank transfer,104.97,7049.98,No
ID-00110,Female,0,Yes,No,66,No,No phone service,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Bank transfer,32.99,8172.7,No
ID-00111,Male,0,No,No,29,Yes,No,No,No internet service,No,No,Yes,No,No internet service,Two year,Yes,Electronic check,42.76,8138.79,No
ID-00112,Female,0,No,No,67,No,No,No,No internet service,Yes,Yes,No,Yes,No internet service,One year,No,Credit card,39.83,8509.04,No
ID-00113,Female,0,Yes,Yes,35,No,Yes,DSL,No,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Credit card,115.87,3600.98,Yes
ID-00114,Male,0,No,Yes,66,No,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Bank transfer,35.23,2505.05,No
ID-00115,Female,1,No,Yes,4,No,Yes,Fiber optic,No,No,No,No internet service,Yes,No,Month-to-month,No,Electronic check,78.34,5503.69,No
ID-00116,Male,1,No,Yes,24,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,81.86,1654.94,No
ID-00117,Female,0,No,No,10,No,Yes,DSL,No internet service,Yes,No,No internet service,Yes,No,Two year,Yes,Mailed check,80.45,4845.65,Yes
ID-00118,Female,1,No,No,71,No,No,Fiber optic,No,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Bank transfer,87.76,5038.68,No
ID-00119,Male,0,Yes,No,65,No,No,No,Yes,No internet service,No,No internet service,No,No internet service,Two year,Yes,Bank transfer,66.88,7007.28,No
ID-00120,Female,0,Yes,Yes,27,No,No,DSL,No,Yes,No internet service,Yes,No internet service,No,Month-to-month,No,Electronic check,26.66,3153.74,No
ID-00121,Male,0,No,Yes,59,Yes,No phone service,DSL,Yes,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card,88.72,5234.0,Yes
ID-00122,Female,0,Yes,Yes,9,Yes,No phone service,Fiber optic,No internet service,No,No internet service,No internet service,No,No,One year,Yes,Electronic check,46.5,7846.53,No
ID-00123,Male,0,No,Yes,49,No,Yes,No,No internet service,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,25.88,3673.37,No
ID-00124,Male,0,No,No,38,No,No,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,Yes,Two year,Yes,Bank transfer,35.31,4973.12,No
ID-00125,Female,0,No,No,36,Yes,Yes,No,Yes,No internet service,No,Yes,No internet service,No,Two year,Yes,Bank transfer,47.12,6842.08,No
ID-00126,Female,0,No,Yes,62,No,No,Fiber optic,No internet service,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,61.71,2181.79,No
ID-00127,Male,0,No,No,60,No,Yes,No,Yes,Yes,Yes,Yes,No internet service,Yes,One year,Yes,Credit card,104.81,914.12,No
ID-00128,Female,1,No,Yes,37,Yes,Yes,No,Yes,Yes,Yes,No internet service,No,No internet service,Two year,Yes,Electronic check,72.17,5927.11,No
ID-00129,Female,0,No,Yes,32,Yes,No phone service,No,Yes,No,Yes,No,No internet service,No internet service,Two year,Yes,Credit card,65.68,3229.01,No
ID-00130,Female,0,No,Yes,44,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card,37.47,3325.44,Yes
ID-00131,Male,0,No,Yes,43,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,Yes,Yes,Two year,No,Mailed check,114.66,8078.95,No
ID-00132,Male,0,Yes,No,0,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,Yes,Two year,No,Credit card,109.56,3553.12,No
ID-00133,Male,0,No,No,52,No,No,Fiber optic,Yes,No,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,100.27,8283.35,No
ID-00134,Male,0,Yes,Yes,46,No,Yes,DSL,No internet service,Yes,Yes,No,No internet service,No,Two year,Yes,Bank transfer,50.73,940.12,No
ID-00135,Male,0,Yes,Yes,32,Yes,Yes,No,Yes,No,No,Yes,No internet service,Yes,Two year,No,Electronic check,74.69,2990.68,No
ID-00136,Male,0,No,No,66,Yes,No,DSL,No internet service,No internet service,No,Yes,Yes,No internet service,Two year,No,Mailed check,57.33,6023.67,Yes
ID-00137,Male,0,Yes,No,14,Yes,No,DSL,Yes,Yes,No internet service,Yes,No internet service,Yes,Month-to-month,No,Electronic check,58.74,1110.22,Yes
ID-00138,Male,0,No,Yes,13,Yes,Yes,No,No,Yes,Yes,No internet service,No internet service,No internet service,One year,Yes,Mailed check,25.5,3372.57,Yes
ID-00139,Male,0,No,Yes,22,No,No phone service,Fiber optic,No internet service,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer,32.32,7399.94,No
ID-00140,Female,0,No,Yes,53,No,No phone service,DSL,No internet service,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,114.85,6620.11,No
ID-00141,Male,0,No,Yes,7,Yes,No phone service,No,Yes,No,No,No,No internet service,No,One year,No,Mailed check,79.56,2463.12,No
ID-00142,Female,0,Yes,Yes,53,No,No,No,Yes,No internet service,No,No internet service,No,Yes,One year,Yes,Electronic check,18.88,3107.47,No
ID-00143,Female,1,Yes,No,35,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No,No internet service,Two year,Yes,Mailed check,99.57,4395.57,No
ID-00144,Female,1,No,No,51,Yes,No,No,No,Yes,No,Yes,No,No,One year,Yes,Electronic check,27.0,6355.99,No
ID-00145,Male,1,Yes,Yes,5,No,Yes,No,No internet service,No internet service,Yes,Yes,Yes,No internet service,Two year,Yes,Bank transfer,89.42,1334.49,Yes
ID-00146,Male,0,Yes,Yes,27,No,No phone service,No,Yes,Yes,No,No,No,No internet service,Two year,No,Bank transfer,80.65,4591.18,No
ID-00147,Male,0,Yes,Yes,49,No,No phone service,Fiber optic,No,No internet service,No,No internet service,Yes,No,Two year,No,Mailed check,24.58,654.04,No
ID-00148,Male,0,No,Yes,37,No,No phone service,Fiber optic,No,No internet service,No,No internet service,No,Yes,Month-to-month,No,Credit card,71.61,3465.96,Yes
ID-00149,Female,0,Yes,No,29,No,Yes,No,Yes,No internet service,No internet service,No,No internet service,No internet service,Two year,No,Bank transfer,23.02,1673.5,Yes
ID-00150,Male,0,Yes,No,53,No,No phone service,No,No internet service,No internet service,No,Yes,Yes,No internet service,One year,No,Credit card,24.72,2696.57,No
ID-00151,Male,0,Yes,Yes,70,No,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,No,Credit card,23.39,2891.09,Yes
ID-00152,Male,1,No,No,45,No,No,Fiber optic,Yes,Yes,No,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,43.92,6692.58,No
ID-00153,Male,0,Yes,Yes,27,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No,No,No,Two year,No,Credit card,98.83,2316.28,No
ID-00154,Male,1,Yes,Yes,16,Yes,No,DSL,No,No,Yes,No internet service,Yes,No,One year,No,Credit card,54.68,5770.79,No
ID-00155,Female,0,No,No,47,No,No,Fiber optic,No,No internet service,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card,82.52,4639.93,Yes
ID-00156,Male,0,Yes,Yes,43,No,Yes,No,No internet service,No,Yes,No,Yes,Yes,One year,No,Electronic check,30.8,6988.11,Yes
ID-00157,Female,0,No,No,59,Yes,No,Fiber optic,No,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,112.0,2805.15,Yes
ID-00158,Male,0,No,Yes,59,Yes,Yes,No,Yes,No internet service,Yes,Yes,Yes,Yes,Two year,No,Credit card,68.93,8638.5,Yes
ID-00159,Female,0,No,Yes,4,Yes,Yes,No,No,No internet service,No internet service,Yes,No internet service,No internet service,One year,No,Bank transfer,20.72,2581.58,Yes
ID-00160,Male,0,No,Yes,68,Yes,No,No,No internet service,No,No internet service,No,Yes,No,One year,Yes,Electronic check,72.26,5040.92,No
ID-00161,Male,0,No,Yes,69,No,Yes,Fiber optic,Yes,No internet service,No internet service,No,Yes,No,Two year,Yes,Credit card,36.8,5497.4,Yes
ID-00162,Female,0,No,No,6,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card,37.93,4682.31,No
ID-00163,Female,1,Yes,Yes,52,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No,No,Month-to-month,No,Electronic check,78.59,7461.43,No
ID-00164,Female,0,No,No,16,Yes,No,Fiber optic,No,No internet service,No,No internet service,Yes,No internet service,Two year,No,Electronic check,41.0,997.38,No
ID-00165,Male,1,Yes,No,58,Yes,Yes,Fiber optic,No internet service,No,Yes,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,39.76,5194.49,No
ID-00166,Female,0,Yes,Yes,8,No,No phone service,DSL,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,72.62,4406.41,No
ID-00167,Male,0,No,No,21,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,No,Yes,Two year,No,Electronic check,41.91,3634.04,No
ID-00168,Male,0,Yes,Yes,44,No,No,DSL,No,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Credit card,29.36,3018.79,No
ID-00169,Female,0,Yes,No,58,No,Yes,No,Yes,No,No internet service,No,Yes,No,Month-to-month,Yes,Bank transfer,59.28,1343.22,No
ID-00170,Female,0,Yes,No,12,No,No,No,No,Yes,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Credit card,23.48,5651.27,No
ID-00171,Male,0,No,Yes,11,No,No phone service,No,Yes,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,109.23,1038.4,No
ID-00172,Male,0,Yes,Yes,35,No,No,No,No internet service,Yes,Yes,No internet service,No internet service,No,Month-to-month,Yes,Credit card,63.63,7205.36,No
ID-00173,Female,0,Yes,No,9,Yes,No,DSL,Yes,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Credit card,19.57,3898.49,No
ID-00174,Female,0,No,Yes,15,No,No,DSL,No,Yes,Yes,No internet service,No,No,Month-to-month,No,Credit card,40.83,5265.14,Yes
ID-00175,Female,0,Yes,Yes,18,Yes,Yes,No,Yes,No internet service,No,No,No,No internet service,Two year,Yes,Mailed check,114.51,692.56,No
ID-00176,Male,0,Yes,No,5,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,Yes,No internet service,No,One year,Yes,Electronic check,68.14,827.64,No
